year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.30480382577997,288.0727636563248,NorESM2-MM,ssp370,r1i1p1f1
2016,289.06459796815074,287.8314300831656,NorESM2-MM,ssp370,r1i1p1f1
2017,289.06597627827426,287.82665082305886,NorESM2-MM,ssp370,r1i1p1f1
2018,289.27541843035834,287.9748698237897,NorESM2-MM,ssp370,r1i1p1f1
2019,289.1862476843822,287.91870480230097,NorESM2-MM,ssp370,r1i1p1f1
2020,288.8983328510476,287.6475113121124,NorESM2-MM,ssp370,r1i1p1f1
2021,288.91408414357585,287.6612595582614,NorESM2-MM,ssp370,r1i1p1f1
2022,288.956948470874,287.70929970927546,NorESM2-MM,ssp370,r1i1p1f1
2023,289.0701187889854,287.8484972456993,NorESM2-MM,ssp370,r1i1p1f1
2024,289.08046675464163,287.8480864081143,NorESM2-MM,ssp370,r1i1p1f1
2025,289.1321511314735,287.90376074822785,NorESM2-MM,ssp370,r1i1p1f1
2026,289.0851320041725,287.8733562029062,NorESM2-MM,ssp370,r1i1p1f1
2027,289.3626646186878,288.1277213069294,NorESM2-MM,ssp370,r1i1p1f1
2028,289.37278295729084,288.12734642887597,NorESM2-MM,ssp370,r1i1p1f1
2029,289.18509008346797,287.96722369177877,NorESM2-MM,ssp370,r1i1p1f1
2030,289.2157569530777,287.95933899227117,NorESM2-MM,ssp370,r1i1p1f1
2031,289.2980876512857,288.06217859392785,NorESM2-MM,ssp370,r1i1p1f1
2032,289.3368514724361,288.06076734884255,NorESM2-MM,ssp370,r1i1p1f1
2033,289.26196113258726,288.02691967404087,NorESM2-MM,ssp370,r1i1p1f1
2034,289.1833085451279,287.92818047743833,NorESM2-MM,ssp370,r1i1p1f1
2035,289.27693380326645,288.0139598230729,NorESM2-MM,ssp370,r1i1p1f1
2036,289.53140493182946,288.29321728172334,NorESM2-MM,ssp370,r1i1p1f1
2037,289.7083045970103,288.4954321962302,NorESM2-MM,ssp370,r1i1p1f1
2038,289.3392140374254,288.1202763720538,NorESM2-MM,ssp370,r1i1p1f1
2039,289.32521705678386,288.1080122160321,NorESM2-MM,ssp370,r1i1p1f1
2040,289.4209781986077,288.20499927301483,NorESM2-MM,ssp370,r1i1p1f1
2041,289.6078694051754,288.4217147677733,NorESM2-MM,ssp370,r1i1p1f1
2042,289.7007333162855,288.4740887749419,NorESM2-MM,ssp370,r1i1p1f1
