year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.1445024092945,288.02434151459914,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2016,288.99165793561076,287.83774294849513,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2017,289.12478673893116,287.9968337558563,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2018,289.2501009628659,288.1085959597345,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2019,289.1463251280013,287.9746404918458,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2020,289.1316153191602,287.9622134176107,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2021,289.2519064160448,288.083974501982,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2022,289.33630566869556,288.15252330368224,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2023,289.2032038327395,288.04791294570583,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2024,289.269924777609,288.1118137434952,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2025,289.24157410116624,288.0812499887003,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2026,289.2106231331092,288.0579708298408,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2027,289.22880475231653,288.0852314638466,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2028,289.25510361665295,288.0772203883987,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2029,289.31234505945343,288.1366731584673,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2030,289.4796416707434,288.2801670726299,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2031,289.31244802175377,288.11520232475556,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2032,289.1787455098447,288.02731787326746,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2033,289.2593701408132,288.1105924181597,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2034,289.45403825161344,288.32399304652466,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2035,289.30063031996315,288.16753527449777,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2036,289.3684220074433,288.2499324618707,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2037,289.52188766088557,288.4146986489457,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2038,289.6642698807066,288.5607726351349,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2039,289.5158694685735,288.4261283052999,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2040,289.5859224117882,288.472042542905,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2041,289.5980795161593,288.45808206159336,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2042,289.6590731710071,288.5543527265372,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2043,289.68709625025224,288.5421603276132,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2044,289.5284251860489,288.4105146667331,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2045,289.69356923726264,288.5913156033538,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2046,289.6273766117202,288.50518162275085,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2047,289.61173768445747,288.4431318819854,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
2048,289.668973732455,288.5374761896975,EC-Earth3-Veg-LR,ssp126,r1i1p1f1
