,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,286.8524070895522,285.03091732635914,K,ssp370,CNRM-CM6-1,r3i1p1f2
1,Feb,2015,287.25608137398774,285.42187941008535,K,ssp370,CNRM-CM6-1,r3i1p1f2
2,Mar,2015,287.8124367012572,286.05329946102216,K,ssp370,CNRM-CM6-1,r3i1p1f2
3,Apr,2015,288.4117568589658,287.01541286876767,K,ssp370,CNRM-CM6-1,r3i1p1f2
4,May,2015,288.9367671208995,287.84722686729594,K,ssp370,CNRM-CM6-1,r3i1p1f2
5,Jun,2015,289.4051840701157,288.7099692976678,K,ssp370,CNRM-CM6-1,r3i1p1f2
6,Jul,2015,289.8318856139885,289.28320554519104,K,ssp370,CNRM-CM6-1,r3i1p1f2
7,Aug,2015,289.6273105739944,289.0590421885234,K,ssp370,CNRM-CM6-1,r3i1p1f2
8,Sep,2015,288.9653210086077,288.2345092550544,K,ssp370,CNRM-CM6-1,r3i1p1f2
9,Oct,2015,288.1824778560582,287.18766700819754,K,ssp370,CNRM-CM6-1,r3i1p1f2
10,Nov,2015,287.43812801469414,286.0218268999225,K,ssp370,CNRM-CM6-1,r3i1p1f2
11,Dec,2015,286.9469996737893,285.317634963894,K,ssp370,CNRM-CM6-1,r3i1p1f2
12,Jan,2016,287.0178367933676,285.287382172192,K,ssp370,CNRM-CM6-1,r3i1p1f2
13,Feb,2016,287.27606130304355,285.5327270907145,K,ssp370,CNRM-CM6-1,r3i1p1f2
14,Mar,2016,287.9266540986104,286.2454752638725,K,ssp370,CNRM-CM6-1,r3i1p1f2
15,Apr,2016,288.3368868313736,286.8684041248685,K,ssp370,CNRM-CM6-1,r3i1p1f2
16,May,2016,288.74770902052796,287.6513863667799,K,ssp370,CNRM-CM6-1,r3i1p1f2
17,Jun,2016,289.3449719548746,288.64349367508436,K,ssp370,CNRM-CM6-1,r3i1p1f2
18,Jul,2016,289.4929824512964,288.96412074639414,K,ssp370,CNRM-CM6-1,r3i1p1f2
19,Aug,2016,289.34102956483036,288.7715616545886,K,ssp370,CNRM-CM6-1,r3i1p1f2
20,Sep,2016,288.8891341452359,288.1482634812645,K,ssp370,CNRM-CM6-1,r3i1p1f2
21,Oct,2016,288.2081764017304,287.1892516097646,K,ssp370,CNRM-CM6-1,r3i1p1f2
22,Nov,2016,287.31459440260977,285.97147753923,K,ssp370,CNRM-CM6-1,r3i1p1f2
23,Dec,2016,286.9861660371538,285.35483274662874,K,ssp370,CNRM-CM6-1,r3i1p1f2
24,Jan,2017,286.62708141808537,284.84940152838885,K,ssp370,CNRM-CM6-1,r3i1p1f2
25,Feb,2017,286.84355169960554,284.9302470656504,K,ssp370,CNRM-CM6-1,r3i1p1f2
26,Mar,2017,287.3769965236599,285.556400392814,K,ssp370,CNRM-CM6-1,r3i1p1f2
27,Apr,2017,288.1352917703106,286.6307352741805,K,ssp370,CNRM-CM6-1,r3i1p1f2
28,May,2017,288.824656454444,287.79450023039163,K,ssp370,CNRM-CM6-1,r3i1p1f2
29,Jun,2017,289.25300901839205,288.5723675757635,K,ssp370,CNRM-CM6-1,r3i1p1f2
30,Jul,2017,289.4960233027338,288.9716670296313,K,ssp370,CNRM-CM6-1,r3i1p1f2
31,Aug,2017,289.54950378707133,288.97778016396126,K,ssp370,CNRM-CM6-1,r3i1p1f2
32,Sep,2017,288.9150121324003,288.19534819039137,K,ssp370,CNRM-CM6-1,r3i1p1f2
33,Oct,2017,288.2322413148299,287.2666063065098,K,ssp370,CNRM-CM6-1,r3i1p1f2
34,Nov,2017,287.3616735009532,286.0407185234407,K,ssp370,CNRM-CM6-1,r3i1p1f2
35,Dec,2017,286.70878834479527,285.09207316617807,K,ssp370,CNRM-CM6-1,r3i1p1f2
36,Jan,2018,287.0068751395272,285.2565446938124,K,ssp370,CNRM-CM6-1,r3i1p1f2
37,Feb,2018,287.2373413396183,285.4117297444604,K,ssp370,CNRM-CM6-1,r3i1p1f2
38,Mar,2018,287.92739972411914,286.13926164450913,K,ssp370,CNRM-CM6-1,r3i1p1f2
39,Apr,2018,288.50415591355613,287.08530914433504,K,ssp370,CNRM-CM6-1,r3i1p1f2
40,May,2018,289.05197866112985,288.06933091402004,K,ssp370,CNRM-CM6-1,r3i1p1f2
41,Jun,2018,289.54242823912426,288.873885272013,K,ssp370,CNRM-CM6-1,r3i1p1f2
42,Jul,2018,289.8484252594863,289.3191607202649,K,ssp370,CNRM-CM6-1,r3i1p1f2
43,Aug,2018,289.86003579850137,289.30916178894944,K,ssp370,CNRM-CM6-1,r3i1p1f2
44,Sep,2018,289.144507912556,288.42281108790365,K,ssp370,CNRM-CM6-1,r3i1p1f2
45,Oct,2018,288.236869855699,287.23864480507746,K,ssp370,CNRM-CM6-1,r3i1p1f2
46,Nov,2018,287.53419281513067,286.18225025353877,K,ssp370,CNRM-CM6-1,r3i1p1f2
47,Dec,2018,287.0966360624151,285.53338580745606,K,ssp370,CNRM-CM6-1,r3i1p1f2
48,Jan,2019,287.00651050877235,285.18619663104977,K,ssp370,CNRM-CM6-1,r3i1p1f2
49,Feb,2019,287.4809429321376,285.5064393999075,K,ssp370,CNRM-CM6-1,r3i1p1f2
50,Mar,2019,287.84742228404264,286.0744444825611,K,ssp370,CNRM-CM6-1,r3i1p1f2
51,Apr,2019,288.44431504768625,287.0059975485738,K,ssp370,CNRM-CM6-1,r3i1p1f2
52,May,2019,288.8476934696298,287.7752922752148,K,ssp370,CNRM-CM6-1,r3i1p1f2
53,Jun,2019,289.371739593702,288.686809331392,K,ssp370,CNRM-CM6-1,r3i1p1f2
54,Jul,2019,289.7002465553864,289.147714036552,K,ssp370,CNRM-CM6-1,r3i1p1f2
55,Aug,2019,289.532960905201,288.94759134798153,K,ssp370,CNRM-CM6-1,r3i1p1f2
56,Sep,2019,288.98141880549605,288.2612080798891,K,ssp370,CNRM-CM6-1,r3i1p1f2
57,Oct,2019,288.08555869110194,287.1255976740707,K,ssp370,CNRM-CM6-1,r3i1p1f2
58,Nov,2019,287.43015137638633,286.02667125687924,K,ssp370,CNRM-CM6-1,r3i1p1f2
59,Dec,2019,286.90387169680355,285.27613213724624,K,ssp370,CNRM-CM6-1,r3i1p1f2
60,Jan,2020,286.7048157770329,284.9163822824736,K,ssp370,CNRM-CM6-1,r3i1p1f2
61,Feb,2020,287.27025206744054,285.3383376300826,K,ssp370,CNRM-CM6-1,r3i1p1f2
62,Mar,2020,287.7065672759001,285.93856361541856,K,ssp370,CNRM-CM6-1,r3i1p1f2
63,Apr,2020,288.4271947243285,287.0608886777192,K,ssp370,CNRM-CM6-1,r3i1p1f2
64,May,2020,288.9619066950434,287.9503453769578,K,ssp370,CNRM-CM6-1,r3i1p1f2
65,Jun,2020,289.4044172341702,288.7045820862985,K,ssp370,CNRM-CM6-1,r3i1p1f2
66,Jul,2020,289.7798616627072,289.2317628302352,K,ssp370,CNRM-CM6-1,r3i1p1f2
67,Aug,2020,289.59854776759204,289.03106062032913,K,ssp370,CNRM-CM6-1,r3i1p1f2
68,Sep,2020,289.0305768678163,288.29926739904954,K,ssp370,CNRM-CM6-1,r3i1p1f2
69,Oct,2020,288.19463050935195,287.2126826043413,K,ssp370,CNRM-CM6-1,r3i1p1f2
70,Nov,2020,287.37265821472033,286.08601420913794,K,ssp370,CNRM-CM6-1,r3i1p1f2
71,Dec,2020,287.05734553850317,285.36435001782513,K,ssp370,CNRM-CM6-1,r3i1p1f2
72,Jan,2021,287.0040010743453,285.20401123868766,K,ssp370,CNRM-CM6-1,r3i1p1f2
73,Feb,2021,287.1370089908928,285.3708137904957,K,ssp370,CNRM-CM6-1,r3i1p1f2
74,Mar,2021,287.6038591704737,285.84049460440525,K,ssp370,CNRM-CM6-1,r3i1p1f2
75,Apr,2021,288.39841053242037,286.86211074806164,K,ssp370,CNRM-CM6-1,r3i1p1f2
76,May,2021,288.8325448446768,287.7975477153867,K,ssp370,CNRM-CM6-1,r3i1p1f2
77,Jun,2021,289.32010680365414,288.64598802027587,K,ssp370,CNRM-CM6-1,r3i1p1f2
78,Jul,2021,289.6663453547978,289.14540457735546,K,ssp370,CNRM-CM6-1,r3i1p1f2
79,Aug,2021,289.56038867768234,289.01290435017785,K,ssp370,CNRM-CM6-1,r3i1p1f2
80,Sep,2021,289.0468503616788,288.3251393868705,K,ssp370,CNRM-CM6-1,r3i1p1f2
81,Oct,2021,288.2989018354919,287.3429827692238,K,ssp370,CNRM-CM6-1,r3i1p1f2
82,Nov,2021,287.42208406199995,286.09736644114616,K,ssp370,CNRM-CM6-1,r3i1p1f2
83,Dec,2021,286.9035006793605,285.2556961680879,K,ssp370,CNRM-CM6-1,r3i1p1f2
84,Jan,2022,286.9996300872207,285.27380662902806,K,ssp370,CNRM-CM6-1,r3i1p1f2
85,Feb,2022,287.4271032071157,285.6091425664693,K,ssp370,CNRM-CM6-1,r3i1p1f2
86,Mar,2022,287.66945716571416,285.95255268593303,K,ssp370,CNRM-CM6-1,r3i1p1f2
87,Apr,2022,288.38384966427054,287.0007033546403,K,ssp370,CNRM-CM6-1,r3i1p1f2
88,May,2022,288.9264747339355,287.85737879068756,K,ssp370,CNRM-CM6-1,r3i1p1f2
89,Jun,2022,289.3589573468548,288.640200582997,K,ssp370,CNRM-CM6-1,r3i1p1f2
90,Jul,2022,289.5517398153267,289.02843013280466,K,ssp370,CNRM-CM6-1,r3i1p1f2
91,Aug,2022,289.4815376567669,288.94028500132725,K,ssp370,CNRM-CM6-1,r3i1p1f2
92,Sep,2022,288.9388174051438,288.2480571052271,K,ssp370,CNRM-CM6-1,r3i1p1f2
93,Oct,2022,288.1822437469451,287.1937845379015,K,ssp370,CNRM-CM6-1,r3i1p1f2
94,Nov,2022,287.62422291000286,286.28680328907717,K,ssp370,CNRM-CM6-1,r3i1p1f2
95,Dec,2022,286.94739705622425,285.4927699527702,K,ssp370,CNRM-CM6-1,r3i1p1f2
96,Jan,2023,286.99743383046837,285.2800713192592,K,ssp370,CNRM-CM6-1,r3i1p1f2
97,Feb,2023,287.5407446100657,285.64546185446017,K,ssp370,CNRM-CM6-1,r3i1p1f2
98,Mar,2023,288.1137208609762,286.4042844565867,K,ssp370,CNRM-CM6-1,r3i1p1f2
99,Apr,2023,288.73312631765754,287.27270413543835,K,ssp370,CNRM-CM6-1,r3i1p1f2
100,May,2023,289.1607579111192,288.15682952233175,K,ssp370,CNRM-CM6-1,r3i1p1f2
101,Jun,2023,289.58713783694947,288.9223314572981,K,ssp370,CNRM-CM6-1,r3i1p1f2
102,Jul,2023,290.03331788295725,289.5346219271273,K,ssp370,CNRM-CM6-1,r3i1p1f2
103,Aug,2023,289.8232800401088,289.2828772284241,K,ssp370,CNRM-CM6-1,r3i1p1f2
104,Sep,2023,289.21701637032555,288.5256920859105,K,ssp370,CNRM-CM6-1,r3i1p1f2
105,Oct,2023,288.2439487081235,287.3438903474894,K,ssp370,CNRM-CM6-1,r3i1p1f2
106,Nov,2023,287.6648032596635,286.3986648375604,K,ssp370,CNRM-CM6-1,r3i1p1f2
107,Dec,2023,287.0285476400411,285.4722525389408,K,ssp370,CNRM-CM6-1,r3i1p1f2
108,Jan,2024,287.1214850780662,285.333431846611,K,ssp370,CNRM-CM6-1,r3i1p1f2
109,Feb,2024,287.477622280182,285.5511216744292,K,ssp370,CNRM-CM6-1,r3i1p1f2
110,Mar,2024,288.0056073462918,286.2331797329532,K,ssp370,CNRM-CM6-1,r3i1p1f2
111,Apr,2024,288.4703578656314,287.04196652779507,K,ssp370,CNRM-CM6-1,r3i1p1f2
112,May,2024,289.1284243253177,288.1009624599553,K,ssp370,CNRM-CM6-1,r3i1p1f2
113,Jun,2024,289.5342649656385,288.86360499579894,K,ssp370,CNRM-CM6-1,r3i1p1f2
114,Jul,2024,289.8338827833258,289.3108397613,K,ssp370,CNRM-CM6-1,r3i1p1f2
115,Aug,2024,289.6817272186172,289.143137738882,K,ssp370,CNRM-CM6-1,r3i1p1f2
116,Sep,2024,288.96433283184143,288.2680786453973,K,ssp370,CNRM-CM6-1,r3i1p1f2
117,Oct,2024,288.40842109009486,287.4117292834776,K,ssp370,CNRM-CM6-1,r3i1p1f2
118,Nov,2024,287.4467322634922,286.12273873816997,K,ssp370,CNRM-CM6-1,r3i1p1f2
119,Dec,2024,287.35734736042735,285.69778917512286,K,ssp370,CNRM-CM6-1,r3i1p1f2
120,Jan,2025,287.15154946641655,285.4340480170029,K,ssp370,CNRM-CM6-1,r3i1p1f2
121,Feb,2025,287.19167216728744,285.50446327523844,K,ssp370,CNRM-CM6-1,r3i1p1f2
122,Mar,2025,287.93397267646867,286.2604568467234,K,ssp370,CNRM-CM6-1,r3i1p1f2
123,Apr,2025,288.8594526562288,287.4907236665818,K,ssp370,CNRM-CM6-1,r3i1p1f2
124,May,2025,289.1099505611126,288.0565091779077,K,ssp370,CNRM-CM6-1,r3i1p1f2
125,Jun,2025,289.5885005559283,288.92476425357376,K,ssp370,CNRM-CM6-1,r3i1p1f2
126,Jul,2025,289.7588747455712,289.2402607601683,K,ssp370,CNRM-CM6-1,r3i1p1f2
127,Aug,2025,289.6858294628336,289.13975097486343,K,ssp370,CNRM-CM6-1,r3i1p1f2
128,Sep,2025,289.2040891150492,288.47183909347433,K,ssp370,CNRM-CM6-1,r3i1p1f2
129,Oct,2025,288.3449162305529,287.33239948115613,K,ssp370,CNRM-CM6-1,r3i1p1f2
130,Nov,2025,287.3492463405084,286.0633351575135,K,ssp370,CNRM-CM6-1,r3i1p1f2
131,Dec,2025,286.8896686927647,285.334889311446,K,ssp370,CNRM-CM6-1,r3i1p1f2
132,Jan,2026,286.87620161680377,285.2275115968644,K,ssp370,CNRM-CM6-1,r3i1p1f2
133,Feb,2026,287.2418957467423,285.38943151062927,K,ssp370,CNRM-CM6-1,r3i1p1f2
134,Mar,2026,287.8293421644467,286.1383683003959,K,ssp370,CNRM-CM6-1,r3i1p1f2
135,Apr,2026,288.579215681916,287.16510845593245,K,ssp370,CNRM-CM6-1,r3i1p1f2
136,May,2026,289.01164970923816,287.99332747733143,K,ssp370,CNRM-CM6-1,r3i1p1f2
137,Jun,2026,289.44400478231495,288.796968710562,K,ssp370,CNRM-CM6-1,r3i1p1f2
138,Jul,2026,289.9036024502093,289.40280259325846,K,ssp370,CNRM-CM6-1,r3i1p1f2
139,Aug,2026,289.8132373704019,289.2777171096817,K,ssp370,CNRM-CM6-1,r3i1p1f2
140,Sep,2026,289.25364788864954,288.5514715109984,K,ssp370,CNRM-CM6-1,r3i1p1f2
141,Oct,2026,288.31612901042956,287.38952589752466,K,ssp370,CNRM-CM6-1,r3i1p1f2
142,Nov,2026,287.63188378467635,286.36959532032995,K,ssp370,CNRM-CM6-1,r3i1p1f2
143,Dec,2026,287.0492894008632,285.5480424566166,K,ssp370,CNRM-CM6-1,r3i1p1f2
144,Jan,2027,287.16244500695507,285.38557898694773,K,ssp370,CNRM-CM6-1,r3i1p1f2
145,Feb,2027,287.3770432006938,285.56212387844806,K,ssp370,CNRM-CM6-1,r3i1p1f2
146,Mar,2027,287.9555115473302,286.2127889362342,K,ssp370,CNRM-CM6-1,r3i1p1f2
147,Apr,2027,288.7041228124912,287.3361617305353,K,ssp370,CNRM-CM6-1,r3i1p1f2
148,May,2027,289.1647658529427,288.1211927468354,K,ssp370,CNRM-CM6-1,r3i1p1f2
149,Jun,2027,289.7699597697476,289.07879715129707,K,ssp370,CNRM-CM6-1,r3i1p1f2
150,Jul,2027,290.02440621354816,289.49971380810024,K,ssp370,CNRM-CM6-1,r3i1p1f2
151,Aug,2027,289.9788100011838,289.43297524635494,K,ssp370,CNRM-CM6-1,r3i1p1f2
152,Sep,2027,289.36472549747475,288.6635848157974,K,ssp370,CNRM-CM6-1,r3i1p1f2
153,Oct,2027,288.50586218366385,287.5847705488325,K,ssp370,CNRM-CM6-1,r3i1p1f2
154,Nov,2027,287.70432810987035,286.4403236903257,K,ssp370,CNRM-CM6-1,r3i1p1f2
155,Dec,2027,287.1817677077748,285.6571387349466,K,ssp370,CNRM-CM6-1,r3i1p1f2
156,Jan,2028,287.03348249545024,285.3138477026514,K,ssp370,CNRM-CM6-1,r3i1p1f2
157,Feb,2028,287.7294638957087,285.92213153696673,K,ssp370,CNRM-CM6-1,r3i1p1f2
158,Mar,2028,288.2733385072349,286.51281906792,K,ssp370,CNRM-CM6-1,r3i1p1f2
159,Apr,2028,288.90656329513916,287.4563036508245,K,ssp370,CNRM-CM6-1,r3i1p1f2
160,May,2028,289.3922861246776,288.332013279022,K,ssp370,CNRM-CM6-1,r3i1p1f2
161,Jun,2028,289.8056708301904,289.11777831584374,K,ssp370,CNRM-CM6-1,r3i1p1f2
162,Jul,2028,289.976751269638,289.44507249712035,K,ssp370,CNRM-CM6-1,r3i1p1f2
163,Aug,2028,289.914425781568,289.3434313390391,K,ssp370,CNRM-CM6-1,r3i1p1f2
164,Sep,2028,289.2125726077128,288.5116828894166,K,ssp370,CNRM-CM6-1,r3i1p1f2
165,Oct,2028,288.45507649500075,287.4888559819269,K,ssp370,CNRM-CM6-1,r3i1p1f2
166,Nov,2028,287.5443142221546,286.2448152222322,K,ssp370,CNRM-CM6-1,r3i1p1f2
167,Dec,2028,286.9852391993169,285.38379511183126,K,ssp370,CNRM-CM6-1,r3i1p1f2
168,Jan,2029,286.85948336138404,285.0759443355939,K,ssp370,CNRM-CM6-1,r3i1p1f2
169,Feb,2029,286.91662114319706,284.99768552603496,K,ssp370,CNRM-CM6-1,r3i1p1f2
170,Mar,2029,287.7256515952496,285.96907265837314,K,ssp370,CNRM-CM6-1,r3i1p1f2
171,Apr,2029,288.4514099277716,286.8860394660242,K,ssp370,CNRM-CM6-1,r3i1p1f2
172,May,2029,288.88954177500017,287.75443109305326,K,ssp370,CNRM-CM6-1,r3i1p1f2
173,Jun,2029,289.39984610822506,288.67687170603625,K,ssp370,CNRM-CM6-1,r3i1p1f2
174,Jul,2029,289.6488598930427,289.1001202277205,K,ssp370,CNRM-CM6-1,r3i1p1f2
175,Aug,2029,289.7363790083308,289.16650295409164,K,ssp370,CNRM-CM6-1,r3i1p1f2
176,Sep,2029,289.21012751829966,288.4128454505173,K,ssp370,CNRM-CM6-1,r3i1p1f2
177,Oct,2029,288.3304811261725,287.2689646988246,K,ssp370,CNRM-CM6-1,r3i1p1f2
178,Nov,2029,287.6918615534052,286.23944840619953,K,ssp370,CNRM-CM6-1,r3i1p1f2
179,Dec,2029,287.18818672595717,285.5162323747377,K,ssp370,CNRM-CM6-1,r3i1p1f2
180,Jan,2030,287.08787606314326,285.1539800439814,K,ssp370,CNRM-CM6-1,r3i1p1f2
181,Feb,2030,287.6329396720612,285.6137922065296,K,ssp370,CNRM-CM6-1,r3i1p1f2
182,Mar,2030,288.13822053808735,286.38705663136506,K,ssp370,CNRM-CM6-1,r3i1p1f2
183,Apr,2030,288.7613840276898,287.26570626077995,K,ssp370,CNRM-CM6-1,r3i1p1f2
184,May,2030,289.37129514053356,288.29937033766134,K,ssp370,CNRM-CM6-1,r3i1p1f2
185,Jun,2030,289.89568277173186,289.1797657910491,K,ssp370,CNRM-CM6-1,r3i1p1f2
186,Jul,2030,290.12875764191915,289.57547031866164,K,ssp370,CNRM-CM6-1,r3i1p1f2
187,Aug,2030,289.97925553893566,289.3893025768307,K,ssp370,CNRM-CM6-1,r3i1p1f2
188,Sep,2030,289.31574610312964,288.52930231798365,K,ssp370,CNRM-CM6-1,r3i1p1f2
189,Oct,2030,288.463553453199,287.4599768960378,K,ssp370,CNRM-CM6-1,r3i1p1f2
190,Nov,2030,287.7521777380773,286.25569277940093,K,ssp370,CNRM-CM6-1,r3i1p1f2
191,Dec,2030,287.2941824846996,285.5839615988124,K,ssp370,CNRM-CM6-1,r3i1p1f2
192,Jan,2031,287.20180182991896,285.5825748425775,K,ssp370,CNRM-CM6-1,r3i1p1f2
193,Feb,2031,287.3581795652286,285.6384663465469,K,ssp370,CNRM-CM6-1,r3i1p1f2
194,Mar,2031,288.2191598226325,286.46956104954336,K,ssp370,CNRM-CM6-1,r3i1p1f2
195,Apr,2031,288.8005857878488,287.43052732768894,K,ssp370,CNRM-CM6-1,r3i1p1f2
196,May,2031,289.2595996326184,288.2439355825648,K,ssp370,CNRM-CM6-1,r3i1p1f2
197,Jun,2031,289.6708388396561,289.01069093614626,K,ssp370,CNRM-CM6-1,r3i1p1f2
198,Jul,2031,289.9777438339962,289.4597852062438,K,ssp370,CNRM-CM6-1,r3i1p1f2
199,Aug,2031,289.89668679348114,289.3443637165952,K,ssp370,CNRM-CM6-1,r3i1p1f2
200,Sep,2031,289.3121891509164,288.6048817884672,K,ssp370,CNRM-CM6-1,r3i1p1f2
201,Oct,2031,288.54727837689074,287.56102129900336,K,ssp370,CNRM-CM6-1,r3i1p1f2
202,Nov,2031,287.62612461412965,286.32478195943605,K,ssp370,CNRM-CM6-1,r3i1p1f2
203,Dec,2031,287.21452312808026,285.62226691149016,K,ssp370,CNRM-CM6-1,r3i1p1f2
204,Jan,2032,287.14096870454443,285.37745982403845,K,ssp370,CNRM-CM6-1,r3i1p1f2
205,Feb,2032,287.3210320310959,285.4852822638216,K,ssp370,CNRM-CM6-1,r3i1p1f2
206,Mar,2032,288.1781242657388,286.37015295521627,K,ssp370,CNRM-CM6-1,r3i1p1f2
207,Apr,2032,288.8705699058733,287.4863819441411,K,ssp370,CNRM-CM6-1,r3i1p1f2
208,May,2032,289.35107418954397,288.33978160235444,K,ssp370,CNRM-CM6-1,r3i1p1f2
209,Jun,2032,289.91805812703967,289.26983713227804,K,ssp370,CNRM-CM6-1,r3i1p1f2
210,Jul,2032,290.0984160917296,289.5712588831662,K,ssp370,CNRM-CM6-1,r3i1p1f2
211,Aug,2032,290.0376175426795,289.4724280789413,K,ssp370,CNRM-CM6-1,r3i1p1f2
212,Sep,2032,289.3745816845273,288.68177068265794,K,ssp370,CNRM-CM6-1,r3i1p1f2
213,Oct,2032,288.4904816950389,287.517976456781,K,ssp370,CNRM-CM6-1,r3i1p1f2
214,Nov,2032,287.6085735317318,286.29927014682573,K,ssp370,CNRM-CM6-1,r3i1p1f2
215,Dec,2032,287.0963963926674,285.5411609754267,K,ssp370,CNRM-CM6-1,r3i1p1f2
216,Jan,2033,287.02269449827367,285.43239794555046,K,ssp370,CNRM-CM6-1,r3i1p1f2
217,Feb,2033,287.44106435096165,285.5885002131665,K,ssp370,CNRM-CM6-1,r3i1p1f2
218,Mar,2033,288.0709545867367,286.22123511640183,K,ssp370,CNRM-CM6-1,r3i1p1f2
219,Apr,2033,288.51011537046435,287.1166139468223,K,ssp370,CNRM-CM6-1,r3i1p1f2
220,May,2033,289.11883195390374,288.1323341412577,K,ssp370,CNRM-CM6-1,r3i1p1f2
221,Jun,2033,289.6864929821377,289.0533489286342,K,ssp370,CNRM-CM6-1,r3i1p1f2
222,Jul,2033,290.0440732683989,289.54248412214474,K,ssp370,CNRM-CM6-1,r3i1p1f2
223,Aug,2033,290.0305801317107,289.49075665188946,K,ssp370,CNRM-CM6-1,r3i1p1f2
224,Sep,2033,289.2744447033119,288.56444693462225,K,ssp370,CNRM-CM6-1,r3i1p1f2
225,Oct,2033,288.52411352776375,287.5809577331151,K,ssp370,CNRM-CM6-1,r3i1p1f2
226,Nov,2033,287.7265853853827,286.42507448809886,K,ssp370,CNRM-CM6-1,r3i1p1f2
227,Dec,2033,287.33954010084994,285.7999723660309,K,ssp370,CNRM-CM6-1,r3i1p1f2
228,Jan,2034,287.2874911177066,285.5248672635617,K,ssp370,CNRM-CM6-1,r3i1p1f2
229,Feb,2034,287.5176952490215,285.7270233223027,K,ssp370,CNRM-CM6-1,r3i1p1f2
230,Mar,2034,288.09256671788023,286.3440811736661,K,ssp370,CNRM-CM6-1,r3i1p1f2
231,Apr,2034,288.7058232957714,287.3371463374739,K,ssp370,CNRM-CM6-1,r3i1p1f2
232,May,2034,289.24338874427195,288.2046497706381,K,ssp370,CNRM-CM6-1,r3i1p1f2
233,Jun,2034,289.7541621581566,289.03068276293186,K,ssp370,CNRM-CM6-1,r3i1p1f2
234,Jul,2034,290.21451250689734,289.6794416272462,K,ssp370,CNRM-CM6-1,r3i1p1f2
235,Aug,2034,290.2977272816312,289.7285582422099,K,ssp370,CNRM-CM6-1,r3i1p1f2
236,Sep,2034,289.59260412195715,288.8656585072797,K,ssp370,CNRM-CM6-1,r3i1p1f2
237,Oct,2034,288.8067189806685,287.83665201133306,K,ssp370,CNRM-CM6-1,r3i1p1f2
238,Nov,2034,287.8224053314448,286.5629663716395,K,ssp370,CNRM-CM6-1,r3i1p1f2
239,Dec,2034,287.4756009580749,285.8951923827352,K,ssp370,CNRM-CM6-1,r3i1p1f2
240,Jan,2035,287.49039323591546,285.7481688789289,K,ssp370,CNRM-CM6-1,r3i1p1f2
241,Feb,2035,287.6516190448049,285.92868022556615,K,ssp370,CNRM-CM6-1,r3i1p1f2
242,Mar,2035,287.97294118957933,286.38857718418626,K,ssp370,CNRM-CM6-1,r3i1p1f2
243,Apr,2035,289.0498236441121,287.60484975849585,K,ssp370,CNRM-CM6-1,r3i1p1f2
244,May,2035,289.50806736662634,288.47495635473143,K,ssp370,CNRM-CM6-1,r3i1p1f2
245,Jun,2035,289.96808762367334,289.3154581882435,K,ssp370,CNRM-CM6-1,r3i1p1f2
246,Jul,2035,290.28522716183807,289.7573013414346,K,ssp370,CNRM-CM6-1,r3i1p1f2
247,Aug,2035,289.9964436687418,289.462405724042,K,ssp370,CNRM-CM6-1,r3i1p1f2
248,Sep,2035,289.52901631597905,288.821154487738,K,ssp370,CNRM-CM6-1,r3i1p1f2
249,Oct,2035,288.61670385939357,287.70591839811317,K,ssp370,CNRM-CM6-1,r3i1p1f2
250,Nov,2035,287.9949027615124,286.7439111159769,K,ssp370,CNRM-CM6-1,r3i1p1f2
251,Dec,2035,287.5267895460824,285.97086441755334,K,ssp370,CNRM-CM6-1,r3i1p1f2
252,Jan,2036,287.29265679482654,285.5264741012744,K,ssp370,CNRM-CM6-1,r3i1p1f2
253,Feb,2036,287.45025091700256,285.8502309517446,K,ssp370,CNRM-CM6-1,r3i1p1f2
254,Mar,2036,287.8720596355585,286.26787260012713,K,ssp370,CNRM-CM6-1,r3i1p1f2
255,Apr,2036,288.851619208446,287.50382631042163,K,ssp370,CNRM-CM6-1,r3i1p1f2
256,May,2036,289.24630292932443,288.3271350484622,K,ssp370,CNRM-CM6-1,r3i1p1f2
257,Jun,2036,289.9605866344708,289.2788867335907,K,ssp370,CNRM-CM6-1,r3i1p1f2
258,Jul,2036,290.1183419448268,289.6123758601366,K,ssp370,CNRM-CM6-1,r3i1p1f2
259,Aug,2036,290.03851906532884,289.5042657327325,K,ssp370,CNRM-CM6-1,r3i1p1f2
260,Sep,2036,289.53555439866955,288.8612861380858,K,ssp370,CNRM-CM6-1,r3i1p1f2
261,Oct,2036,288.75131217645696,287.8444366450882,K,ssp370,CNRM-CM6-1,r3i1p1f2
262,Nov,2036,287.94133455549905,286.7898511176218,K,ssp370,CNRM-CM6-1,r3i1p1f2
263,Dec,2036,287.4957910385524,285.9673886962419,K,ssp370,CNRM-CM6-1,r3i1p1f2
264,Jan,2037,287.3767898880717,285.72748196074184,K,ssp370,CNRM-CM6-1,r3i1p1f2
265,Feb,2037,287.6533951814983,285.88441801734945,K,ssp370,CNRM-CM6-1,r3i1p1f2
266,Mar,2037,288.0809995396517,286.31664089446,K,ssp370,CNRM-CM6-1,r3i1p1f2
267,Apr,2037,288.9550648824943,287.52207170141816,K,ssp370,CNRM-CM6-1,r3i1p1f2
268,May,2037,289.6043673725029,288.5995870245673,K,ssp370,CNRM-CM6-1,r3i1p1f2
