,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,285.815279165411,283.7706208538796,K,historical,SAM0-UNICON,r1i1p1f1
1,Feb,1850,286.24297929055876,284.23849544256524,K,historical,SAM0-UNICON,r1i1p1f1
2,Mar,1850,286.99893443565526,285.13922670914457,K,historical,SAM0-UNICON,r1i1p1f1
3,Apr,1850,287.47598287114135,286.06094977838774,K,historical,SAM0-UNICON,r1i1p1f1
4,May,1850,288.1016482194966,287.0284165054544,K,historical,SAM0-UNICON,r1i1p1f1
5,Jun,1850,288.3016002464287,287.5679495622078,K,historical,SAM0-UNICON,r1i1p1f1
6,Jul,1850,288.64207442923794,288.0551941305369,K,historical,SAM0-UNICON,r1i1p1f1
7,Aug,1850,288.44290843780743,287.74069309642675,K,historical,SAM0-UNICON,r1i1p1f1
8,Sep,1850,288.2202079262847,287.26133719637556,K,historical,SAM0-UNICON,r1i1p1f1
9,Oct,1850,287.48793433745516,286.1025231633146,K,historical,SAM0-UNICON,r1i1p1f1
10,Nov,1850,286.61332576185754,284.82078809146594,K,historical,SAM0-UNICON,r1i1p1f1
11,Dec,1850,286.068362484325,284.0727502721979,K,historical,SAM0-UNICON,r1i1p1f1
12,Jan,1851,285.7340855947433,283.9043572654299,K,historical,SAM0-UNICON,r1i1p1f1
13,Feb,1851,286.4103433830957,284.47945126337754,K,historical,SAM0-UNICON,r1i1p1f1
14,Mar,1851,286.94729672303106,285.1793774857561,K,historical,SAM0-UNICON,r1i1p1f1
15,Apr,1851,287.5468578608584,285.9266798660357,K,historical,SAM0-UNICON,r1i1p1f1
16,May,1851,288.0465048930816,286.95042633075724,K,historical,SAM0-UNICON,r1i1p1f1
17,Jun,1851,288.4254690623575,287.6811952154206,K,historical,SAM0-UNICON,r1i1p1f1
18,Jul,1851,288.57982546000466,287.97882317221763,K,historical,SAM0-UNICON,r1i1p1f1
19,Aug,1851,288.5114243440318,287.8345980504411,K,historical,SAM0-UNICON,r1i1p1f1
20,Sep,1851,288.2594669901177,287.32025377966886,K,historical,SAM0-UNICON,r1i1p1f1
21,Oct,1851,287.5456616499105,286.0981722930346,K,historical,SAM0-UNICON,r1i1p1f1
22,Nov,1851,286.51754716249496,284.7672518906564,K,historical,SAM0-UNICON,r1i1p1f1
23,Dec,1851,286.1196490439452,284.2194796022599,K,historical,SAM0-UNICON,r1i1p1f1
24,Jan,1852,286.1771560436939,284.21841617595527,K,historical,SAM0-UNICON,r1i1p1f1
25,Feb,1852,286.3809627509638,284.3659685711963,K,historical,SAM0-UNICON,r1i1p1f1
26,Mar,1852,286.8972394217702,285.1862987380625,K,historical,SAM0-UNICON,r1i1p1f1
27,Apr,1852,287.5075685942913,286.0887109911062,K,historical,SAM0-UNICON,r1i1p1f1
28,May,1852,287.93018959138584,286.9077570593363,K,historical,SAM0-UNICON,r1i1p1f1
29,Jun,1852,288.5062380271383,287.75042332012424,K,historical,SAM0-UNICON,r1i1p1f1
30,Jul,1852,288.7478743421766,288.14290855371894,K,historical,SAM0-UNICON,r1i1p1f1
31,Aug,1852,288.7870460103339,288.0872371144823,K,historical,SAM0-UNICON,r1i1p1f1
32,Sep,1852,288.2683294801366,287.3347215196687,K,historical,SAM0-UNICON,r1i1p1f1
33,Oct,1852,287.5899388741986,286.25300743946696,K,historical,SAM0-UNICON,r1i1p1f1
34,Nov,1852,287.0422321441151,285.3192257581356,K,historical,SAM0-UNICON,r1i1p1f1
35,Dec,1852,286.39550722417454,284.4654838875764,K,historical,SAM0-UNICON,r1i1p1f1
36,Jan,1853,286.2107537907226,284.316804913941,K,historical,SAM0-UNICON,r1i1p1f1
37,Feb,1853,286.68620080544287,284.80492656163955,K,historical,SAM0-UNICON,r1i1p1f1
38,Mar,1853,287.29222018212096,285.4434082129173,K,historical,SAM0-UNICON,r1i1p1f1
39,Apr,1853,287.73949557067243,286.30255978298334,K,historical,SAM0-UNICON,r1i1p1f1
40,May,1853,288.2893085782918,287.2148259216136,K,historical,SAM0-UNICON,r1i1p1f1
41,Jun,1853,288.7491013025651,288.00098327197003,K,historical,SAM0-UNICON,r1i1p1f1
42,Jul,1853,288.84951230882626,288.23502793601864,K,historical,SAM0-UNICON,r1i1p1f1
43,Aug,1853,288.7472352708642,288.065449206242,K,historical,SAM0-UNICON,r1i1p1f1
44,Sep,1853,288.2551400480781,287.2919708405887,K,historical,SAM0-UNICON,r1i1p1f1
45,Oct,1853,287.6497818854387,286.20486146985246,K,historical,SAM0-UNICON,r1i1p1f1
46,Nov,1853,287.04798996646406,285.1935417526603,K,historical,SAM0-UNICON,r1i1p1f1
47,Dec,1853,286.52931754764967,284.5616622968279,K,historical,SAM0-UNICON,r1i1p1f1
48,Jan,1854,286.4104121436024,284.5393160161405,K,historical,SAM0-UNICON,r1i1p1f1
49,Feb,1854,286.8046576083046,284.88959102076916,K,historical,SAM0-UNICON,r1i1p1f1
50,Mar,1854,287.2854546637833,285.46720323988205,K,historical,SAM0-UNICON,r1i1p1f1
51,Apr,1854,287.8918607019972,286.42351021342546,K,historical,SAM0-UNICON,r1i1p1f1
52,May,1854,288.42683243117386,287.386755163682,K,historical,SAM0-UNICON,r1i1p1f1
53,Jun,1854,288.78674362462476,288.034204752848,K,historical,SAM0-UNICON,r1i1p1f1
54,Jul,1854,288.84456305697773,288.2557683236185,K,historical,SAM0-UNICON,r1i1p1f1
55,Aug,1854,288.77922001011734,288.12589548280016,K,historical,SAM0-UNICON,r1i1p1f1
56,Sep,1854,288.3515696043672,287.39728694596664,K,historical,SAM0-UNICON,r1i1p1f1
57,Oct,1854,287.66799736256854,286.2392278746082,K,historical,SAM0-UNICON,r1i1p1f1
58,Nov,1854,287.2489988038218,285.4282200324123,K,historical,SAM0-UNICON,r1i1p1f1
59,Dec,1854,286.6030370960283,284.7861344203453,K,historical,SAM0-UNICON,r1i1p1f1
60,Jan,1855,286.6033295343794,284.6628690703406,K,historical,SAM0-UNICON,r1i1p1f1
61,Feb,1855,286.5623355949795,284.66256977096276,K,historical,SAM0-UNICON,r1i1p1f1
62,Mar,1855,287.28414956917067,285.5217161940812,K,historical,SAM0-UNICON,r1i1p1f1
63,Apr,1855,287.9271582325397,286.46325748044774,K,historical,SAM0-UNICON,r1i1p1f1
64,May,1855,288.39843520050465,287.34028353730895,K,historical,SAM0-UNICON,r1i1p1f1
65,Jun,1855,288.7763936440905,288.0042000191351,K,historical,SAM0-UNICON,r1i1p1f1
66,Jul,1855,288.84807606624713,288.234515691841,K,historical,SAM0-UNICON,r1i1p1f1
67,Aug,1855,288.60196824606453,287.93115146035547,K,historical,SAM0-UNICON,r1i1p1f1
68,Sep,1855,288.18455583475964,287.32491135515664,K,historical,SAM0-UNICON,r1i1p1f1
69,Oct,1855,287.5197471054934,286.1887732912432,K,historical,SAM0-UNICON,r1i1p1f1
70,Nov,1855,286.7599349531986,285.1196350776269,K,historical,SAM0-UNICON,r1i1p1f1
71,Dec,1855,286.1921776305897,284.3678583646343,K,historical,SAM0-UNICON,r1i1p1f1
72,Jan,1856,285.84059399419965,283.8301631265644,K,historical,SAM0-UNICON,r1i1p1f1
73,Feb,1856,286.2476682019451,284.3195675836769,K,historical,SAM0-UNICON,r1i1p1f1
74,Mar,1856,286.90713623921175,285.07840895654755,K,historical,SAM0-UNICON,r1i1p1f1
75,Apr,1856,287.5910020479166,286.001412276099,K,historical,SAM0-UNICON,r1i1p1f1
76,May,1856,287.9220996622769,286.8184246668217,K,historical,SAM0-UNICON,r1i1p1f1
77,Jun,1856,288.3198421316447,287.61151472227965,K,historical,SAM0-UNICON,r1i1p1f1
78,Jul,1856,288.59090643514094,288.00361709241696,K,historical,SAM0-UNICON,r1i1p1f1
79,Aug,1856,288.52987023300506,287.87403833118583,K,historical,SAM0-UNICON,r1i1p1f1
80,Sep,1856,288.17914258894155,287.2468246280251,K,historical,SAM0-UNICON,r1i1p1f1
81,Oct,1856,287.4424861183101,286.05699539053546,K,historical,SAM0-UNICON,r1i1p1f1
82,Nov,1856,286.63642961859045,284.9183503125731,K,historical,SAM0-UNICON,r1i1p1f1
83,Dec,1856,286.1628220435007,284.19230240269957,K,historical,SAM0-UNICON,r1i1p1f1
84,Jan,1857,286.02753280741365,284.03020684830113,K,historical,SAM0-UNICON,r1i1p1f1
85,Feb,1857,286.4402784626853,284.44155197529534,K,historical,SAM0-UNICON,r1i1p1f1
86,Mar,1857,287.12335587135817,285.37410866195876,K,historical,SAM0-UNICON,r1i1p1f1
87,Apr,1857,287.753515922922,286.3038836685992,K,historical,SAM0-UNICON,r1i1p1f1
88,May,1857,288.0787849702699,286.96744646136244,K,historical,SAM0-UNICON,r1i1p1f1
89,Jun,1857,288.3556950775821,287.6049380929018,K,historical,SAM0-UNICON,r1i1p1f1
90,Jul,1857,288.80244239685146,288.2057776922196,K,historical,SAM0-UNICON,r1i1p1f1
91,Aug,1857,288.7043829395191,288.0237362780386,K,historical,SAM0-UNICON,r1i1p1f1
92,Sep,1857,288.27254804661106,287.3302118505674,K,historical,SAM0-UNICON,r1i1p1f1
93,Oct,1857,287.59602666241,286.22478514803885,K,historical,SAM0-UNICON,r1i1p1f1
94,Nov,1857,287.0297165523986,285.3577647989624,K,historical,SAM0-UNICON,r1i1p1f1
95,Dec,1857,286.57443025973504,284.7189745863778,K,historical,SAM0-UNICON,r1i1p1f1
96,Jan,1858,286.3255845133998,284.39913337438156,K,historical,SAM0-UNICON,r1i1p1f1
97,Feb,1858,286.6130573880809,284.70659854406284,K,historical,SAM0-UNICON,r1i1p1f1
98,Mar,1858,287.36963359608194,285.59072040989275,K,historical,SAM0-UNICON,r1i1p1f1
99,Apr,1858,287.8231049544715,286.32056739094463,K,historical,SAM0-UNICON,r1i1p1f1
100,May,1858,288.40657534289807,287.4002541786381,K,historical,SAM0-UNICON,r1i1p1f1
101,Jun,1858,288.79955989764727,288.0862213851019,K,historical,SAM0-UNICON,r1i1p1f1
102,Jul,1858,288.87849886147944,288.2703450084479,K,historical,SAM0-UNICON,r1i1p1f1
103,Aug,1858,288.91579116005687,288.2364307974752,K,historical,SAM0-UNICON,r1i1p1f1
104,Sep,1858,288.3843506497954,287.4885236853639,K,historical,SAM0-UNICON,r1i1p1f1
105,Oct,1858,287.75511973033855,286.40214657429055,K,historical,SAM0-UNICON,r1i1p1f1
106,Nov,1858,287.16957533013317,285.6278725497328,K,historical,SAM0-UNICON,r1i1p1f1
107,Dec,1858,286.4925633881136,284.64167131210644,K,historical,SAM0-UNICON,r1i1p1f1
108,Jan,1859,286.29891317549817,284.4558990397337,K,historical,SAM0-UNICON,r1i1p1f1
109,Feb,1859,286.9426990803709,285.14281493239815,K,historical,SAM0-UNICON,r1i1p1f1
110,Mar,1859,287.4961933987057,285.8292310868353,K,historical,SAM0-UNICON,r1i1p1f1
111,Apr,1859,287.90090913294335,286.45662477565554,K,historical,SAM0-UNICON,r1i1p1f1
112,May,1859,288.3795526418823,287.37655173666684,K,historical,SAM0-UNICON,r1i1p1f1
113,Jun,1859,288.69636444222965,287.9761894858898,K,historical,SAM0-UNICON,r1i1p1f1
114,Jul,1859,288.78456021796694,288.1729209240875,K,historical,SAM0-UNICON,r1i1p1f1
115,Aug,1859,288.6780518502823,288.0183215688338,K,historical,SAM0-UNICON,r1i1p1f1
116,Sep,1859,288.2344765884056,287.33308841113416,K,historical,SAM0-UNICON,r1i1p1f1
117,Oct,1859,287.63624700842865,286.26881227851516,K,historical,SAM0-UNICON,r1i1p1f1
118,Nov,1859,287.01354540140613,285.3293993295857,K,historical,SAM0-UNICON,r1i1p1f1
119,Dec,1859,286.37707688525643,284.5338532452019,K,historical,SAM0-UNICON,r1i1p1f1
120,Jan,1860,286.2429934817692,284.2617598729111,K,historical,SAM0-UNICON,r1i1p1f1
121,Feb,1860,286.4688901247571,284.60546808472253,K,historical,SAM0-UNICON,r1i1p1f1
122,Mar,1860,287.1942671740611,285.4541859999353,K,historical,SAM0-UNICON,r1i1p1f1
123,Apr,1860,287.694853448614,286.2018713933194,K,historical,SAM0-UNICON,r1i1p1f1
124,May,1860,288.3215247751223,287.24939009151774,K,historical,SAM0-UNICON,r1i1p1f1
125,Jun,1860,288.7987514921791,288.061903308533,K,historical,SAM0-UNICON,r1i1p1f1
126,Jul,1860,288.871055606976,288.25253144627965,K,historical,SAM0-UNICON,r1i1p1f1
127,Aug,1860,288.6668227130786,288.0140132219499,K,historical,SAM0-UNICON,r1i1p1f1
128,Sep,1860,288.28604145112405,287.3853388589832,K,historical,SAM0-UNICON,r1i1p1f1
129,Oct,1860,287.72103775971004,286.3682365098581,K,historical,SAM0-UNICON,r1i1p1f1
130,Nov,1860,286.922337262353,285.27492063468225,K,historical,SAM0-UNICON,r1i1p1f1
131,Dec,1860,286.56623705035526,284.70046748929155,K,historical,SAM0-UNICON,r1i1p1f1
132,Jan,1861,286.45857650256704,284.5371869221473,K,historical,SAM0-UNICON,r1i1p1f1
133,Feb,1861,286.5799349636451,284.68341406338783,K,historical,SAM0-UNICON,r1i1p1f1
134,Mar,1861,287.1924767846366,285.4083281797473,K,historical,SAM0-UNICON,r1i1p1f1
135,Apr,1861,287.8075177127391,286.30695552754514,K,historical,SAM0-UNICON,r1i1p1f1
136,May,1861,288.382482001121,287.34055566161385,K,historical,SAM0-UNICON,r1i1p1f1
137,Jun,1861,288.64779572514243,287.9307820553029,K,historical,SAM0-UNICON,r1i1p1f1
138,Jul,1861,288.6845364763416,288.099343246462,K,historical,SAM0-UNICON,r1i1p1f1
139,Aug,1861,288.6314931074498,287.9730224254542,K,historical,SAM0-UNICON,r1i1p1f1
140,Sep,1861,288.1670133543042,287.2563128946267,K,historical,SAM0-UNICON,r1i1p1f1
141,Oct,1861,287.4689224672399,286.13879439295675,K,historical,SAM0-UNICON,r1i1p1f1
142,Nov,1861,286.7465578896596,285.11975590465835,K,historical,SAM0-UNICON,r1i1p1f1
143,Dec,1861,286.20031424363907,284.39919956900474,K,historical,SAM0-UNICON,r1i1p1f1
144,Jan,1862,286.2219196020248,284.215306817332,K,historical,SAM0-UNICON,r1i1p1f1
145,Feb,1862,286.6456938394493,284.62649754406465,K,historical,SAM0-UNICON,r1i1p1f1
146,Mar,1862,287.23889157525826,285.3989232536797,K,historical,SAM0-UNICON,r1i1p1f1
147,Apr,1862,287.7676001750858,286.32080361640254,K,historical,SAM0-UNICON,r1i1p1f1
148,May,1862,288.31312693711095,287.22856688003907,K,historical,SAM0-UNICON,r1i1p1f1
149,Jun,1862,288.6836979196953,287.94270279617547,K,historical,SAM0-UNICON,r1i1p1f1
150,Jul,1862,288.93233475338207,288.33206030470626,K,historical,SAM0-UNICON,r1i1p1f1
151,Aug,1862,288.8538552058573,288.17764745842055,K,historical,SAM0-UNICON,r1i1p1f1
152,Sep,1862,288.3624318318113,287.4461784793419,K,historical,SAM0-UNICON,r1i1p1f1
153,Oct,1862,287.82606189948075,286.44938292688767,K,historical,SAM0-UNICON,r1i1p1f1
154,Nov,1862,287.16328838776474,285.4758019132928,K,historical,SAM0-UNICON,r1i1p1f1
155,Dec,1862,286.6821946062755,284.7483460404417,K,historical,SAM0-UNICON,r1i1p1f1
156,Jan,1863,286.2328899490389,284.36051176115416,K,historical,SAM0-UNICON,r1i1p1f1
157,Feb,1863,286.66574173496235,284.84514777788297,K,historical,SAM0-UNICON,r1i1p1f1
158,Mar,1863,287.16091228848154,285.4999941051002,K,historical,SAM0-UNICON,r1i1p1f1
159,Apr,1863,287.81218291773524,286.3230967587206,K,historical,SAM0-UNICON,r1i1p1f1
160,May,1863,288.1866929374601,287.1421740044969,K,historical,SAM0-UNICON,r1i1p1f1
161,Jun,1863,288.6490440386341,287.9443697772231,K,historical,SAM0-UNICON,r1i1p1f1
162,Jul,1863,288.9440208118904,288.34974507216185,K,historical,SAM0-UNICON,r1i1p1f1
163,Aug,1863,288.765223827454,288.0864293444696,K,historical,SAM0-UNICON,r1i1p1f1
164,Sep,1863,288.1870997716916,287.28777993066774,K,historical,SAM0-UNICON,r1i1p1f1
165,Oct,1863,287.67021192576664,286.3934649567358,K,historical,SAM0-UNICON,r1i1p1f1
166,Nov,1863,286.93024388673035,285.2767508335344,K,historical,SAM0-UNICON,r1i1p1f1
167,Dec,1863,286.521228862564,284.71614770955114,K,historical,SAM0-UNICON,r1i1p1f1
168,Jan,1864,286.36663348579003,284.3750045327839,K,historical,SAM0-UNICON,r1i1p1f1
169,Feb,1864,286.65582593059895,284.728837876901,K,historical,SAM0-UNICON,r1i1p1f1
170,Mar,1864,287.2650440864405,285.50115848936895,K,historical,SAM0-UNICON,r1i1p1f1
171,Apr,1864,287.8484357336596,286.35944706042244,K,historical,SAM0-UNICON,r1i1p1f1
172,May,1864,288.31482216257825,287.27236905886343,K,historical,SAM0-UNICON,r1i1p1f1
173,Jun,1864,288.5726634095564,287.8646405928285,K,historical,SAM0-UNICON,r1i1p1f1
174,Jul,1864,288.9351786930703,288.3453503321904,K,historical,SAM0-UNICON,r1i1p1f1
175,Aug,1864,288.6779875979955,288.01930038367647,K,historical,SAM0-UNICON,r1i1p1f1
176,Sep,1864,288.19060797903563,287.28004765520336,K,historical,SAM0-UNICON,r1i1p1f1
177,Oct,1864,287.4950948545791,286.1638917771627,K,historical,SAM0-UNICON,r1i1p1f1
178,Nov,1864,286.7720919420658,285.22307651763,K,historical,SAM0-UNICON,r1i1p1f1
179,Dec,1864,286.39280845466135,284.63537607595043,K,historical,SAM0-UNICON,r1i1p1f1
180,Jan,1865,286.18294756507254,284.1957266381168,K,historical,SAM0-UNICON,r1i1p1f1
181,Feb,1865,286.4437402833121,284.5540447968076,K,historical,SAM0-UNICON,r1i1p1f1
182,Mar,1865,287.01838225351355,285.3131383052214,K,historical,SAM0-UNICON,r1i1p1f1
183,Apr,1865,287.60020828311815,286.10676857107967,K,historical,SAM0-UNICON,r1i1p1f1
184,May,1865,287.9662405732479,286.9108756898933,K,historical,SAM0-UNICON,r1i1p1f1
185,Jun,1865,288.34364627383985,287.60428055261116,K,historical,SAM0-UNICON,r1i1p1f1
186,Jul,1865,288.64096895354845,288.0377690050231,K,historical,SAM0-UNICON,r1i1p1f1
187,Aug,1865,288.58034355566343,287.9448460888635,K,historical,SAM0-UNICON,r1i1p1f1
188,Sep,1865,288.04479551142,287.13016015143245,K,historical,SAM0-UNICON,r1i1p1f1
189,Oct,1865,287.4739064031239,286.0896557210253,K,historical,SAM0-UNICON,r1i1p1f1
190,Nov,1865,286.8091159780256,285.14877896518436,K,historical,SAM0-UNICON,r1i1p1f1
191,Dec,1865,286.09684220381973,284.2371596460168,K,historical,SAM0-UNICON,r1i1p1f1
192,Jan,1866,286.16153192850607,284.22919548979115,K,historical,SAM0-UNICON,r1i1p1f1
193,Feb,1866,286.39290545264174,284.3965546964814,K,historical,SAM0-UNICON,r1i1p1f1
194,Mar,1866,286.7678393479709,285.01594195492396,K,historical,SAM0-UNICON,r1i1p1f1
195,Apr,1866,287.4147746726255,285.9929278042378,K,historical,SAM0-UNICON,r1i1p1f1
196,May,1866,287.8630235714577,286.80983821879914,K,historical,SAM0-UNICON,r1i1p1f1
197,Jun,1866,288.3760070375311,287.63324692130857,K,historical,SAM0-UNICON,r1i1p1f1
198,Jul,1866,288.5302795776285,287.9226228269301,K,historical,SAM0-UNICON,r1i1p1f1
199,Aug,1866,288.3987616108087,287.7484017057581,K,historical,SAM0-UNICON,r1i1p1f1
200,Sep,1866,287.9292698435735,287.0483489606389,K,historical,SAM0-UNICON,r1i1p1f1
201,Oct,1866,287.471190409647,286.0989679138856,K,historical,SAM0-UNICON,r1i1p1f1
202,Nov,1866,286.5756650829281,284.93874858417985,K,historical,SAM0-UNICON,r1i1p1f1
203,Dec,1866,286.06255220451715,284.32430632260997,K,historical,SAM0-UNICON,r1i1p1f1
204,Jan,1867,285.9871425812179,284.0169847480441,K,historical,SAM0-UNICON,r1i1p1f1
205,Feb,1867,286.17077410204627,284.21525556092746,K,historical,SAM0-UNICON,r1i1p1f1
206,Mar,1867,286.9516820700949,285.2022345211673,K,historical,SAM0-UNICON,r1i1p1f1
207,Apr,1867,287.6055849968187,286.11784105497765,K,historical,SAM0-UNICON,r1i1p1f1
208,May,1867,288.0906280247496,287.0126607074545,K,historical,SAM0-UNICON,r1i1p1f1
209,Jun,1867,288.47427108005854,287.73189877536396,K,historical,SAM0-UNICON,r1i1p1f1
210,Jul,1867,288.6627183198088,288.0727904625259,K,historical,SAM0-UNICON,r1i1p1f1
211,Aug,1867,288.65269068889495,287.9827935949051,K,historical,SAM0-UNICON,r1i1p1f1
212,Sep,1867,288.08676002454536,287.1298227771143,K,historical,SAM0-UNICON,r1i1p1f1
213,Oct,1867,287.5667382811052,286.2162303348182,K,historical,SAM0-UNICON,r1i1p1f1
214,Nov,1867,286.8994930458149,285.23673231822573,K,historical,SAM0-UNICON,r1i1p1f1
215,Dec,1867,286.4349644865553,284.5722308944998,K,historical,SAM0-UNICON,r1i1p1f1
216,Jan,1868,286.26211133861676,284.3824020828814,K,historical,SAM0-UNICON,r1i1p1f1
217,Feb,1868,286.5667072428549,284.7027970088647,K,historical,SAM0-UNICON,r1i1p1f1
218,Mar,1868,287.08734007399056,285.3132920909881,K,historical,SAM0-UNICON,r1i1p1f1
219,Apr,1868,287.7626441268325,286.2921010481681,K,historical,SAM0-UNICON,r1i1p1f1
220,May,1868,288.14939783164635,287.11498918894233,K,historical,SAM0-UNICON,r1i1p1f1
221,Jun,1868,288.40448255343176,287.6944149579883,K,historical,SAM0-UNICON,r1i1p1f1
222,Jul,1868,288.67367370189385,288.07645240863815,K,historical,SAM0-UNICON,r1i1p1f1
223,Aug,1868,288.6294532951662,287.9376700020254,K,historical,SAM0-UNICON,r1i1p1f1
224,Sep,1868,288.0387310851754,287.1267355863032,K,historical,SAM0-UNICON,r1i1p1f1
225,Oct,1868,287.5232947718832,286.22565543385656,K,historical,SAM0-UNICON,r1i1p1f1
226,Nov,1868,286.9373019173529,285.2669819294561,K,historical,SAM0-UNICON,r1i1p1f1
227,Dec,1868,286.1860420821644,284.4668140633013,K,historical,SAM0-UNICON,r1i1p1f1
228,Jan,1869,286.0710020909531,284.25302777469534,K,historical,SAM0-UNICON,r1i1p1f1
229,Feb,1869,286.3204011364437,284.36164520422693,K,historical,SAM0-UNICON,r1i1p1f1
230,Mar,1869,287.04131482934974,285.33672995126597,K,historical,SAM0-UNICON,r1i1p1f1
231,Apr,1869,287.6265909246684,286.22739904297794,K,historical,SAM0-UNICON,r1i1p1f1
232,May,1869,288.1799843372154,287.19526689602185,K,historical,SAM0-UNICON,r1i1p1f1
233,Jun,1869,288.4876678671736,287.78936802497486,K,historical,SAM0-UNICON,r1i1p1f1
234,Jul,1869,288.67401695139495,288.0941872832114,K,historical,SAM0-UNICON,r1i1p1f1
235,Aug,1869,288.64015476988374,287.9895990911289,K,historical,SAM0-UNICON,r1i1p1f1
236,Sep,1869,288.0288413099179,287.1725720730792,K,historical,SAM0-UNICON,r1i1p1f1
237,Oct,1869,287.40724936429154,286.1142722515707,K,historical,SAM0-UNICON,r1i1p1f1
238,Nov,1869,286.7538694643162,285.09803827666923,K,historical,SAM0-UNICON,r1i1p1f1
239,Dec,1869,286.4528894079317,284.7236549916121,K,historical,SAM0-UNICON,r1i1p1f1
240,Jan,1870,286.41546189695674,284.52264126225697,K,historical,SAM0-UNICON,r1i1p1f1
241,Feb,1870,286.625008036501,284.7537439537673,K,historical,SAM0-UNICON,r1i1p1f1
242,Mar,1870,287.2032899221417,285.5906558877687,K,historical,SAM0-UNICON,r1i1p1f1
243,Apr,1870,287.6990805602454,286.21936322662333,K,historical,SAM0-UNICON,r1i1p1f1
244,May,1870,288.086729229389,286.98094369784917,K,historical,SAM0-UNICON,r1i1p1f1
245,Jun,1870,288.43844015634664,287.6948935982838,K,historical,SAM0-UNICON,r1i1p1f1
246,Jul,1870,288.6557503786083,288.0466171140383,K,historical,SAM0-UNICON,r1i1p1f1
247,Aug,1870,288.7023435973526,288.04698748098167,K,historical,SAM0-UNICON,r1i1p1f1
248,Sep,1870,288.0625741780412,287.1338429787243,K,historical,SAM0-UNICON,r1i1p1f1
249,Oct,1870,287.52869177980983,286.16945485114803,K,historical,SAM0-UNICON,r1i1p1f1
250,Nov,1870,286.77780738102973,285.06328300999957,K,historical,SAM0-UNICON,r1i1p1f1
251,Dec,1870,286.22549876205585,284.36968226664294,K,historical,SAM0-UNICON,r1i1p1f1
252,Jan,1871,286.27547194682575,284.4457266322562,K,historical,SAM0-UNICON,r1i1p1f1
253,Feb,1871,286.26061504926537,284.37618308656687,K,historical,SAM0-UNICON,r1i1p1f1
254,Mar,1871,287.0320509245801,285.3175818196969,K,historical,SAM0-UNICON,r1i1p1f1
255,Apr,1871,287.67080185242946,286.1309676681693,K,historical,SAM0-UNICON,r1i1p1f1
256,May,1871,288.11171176365707,287.0565756963504,K,historical,SAM0-UNICON,r1i1p1f1
257,Jun,1871,288.6197102872593,287.8437214466217,K,historical,SAM0-UNICON,r1i1p1f1
258,Jul,1871,288.6960723855615,288.04999315155067,K,historical,SAM0-UNICON,r1i1p1f1
259,Aug,1871,288.6122746951402,287.92821784444436,K,historical,SAM0-UNICON,r1i1p1f1
260,Sep,1871,288.1783817754413,287.2070690945717,K,historical,SAM0-UNICON,r1i1p1f1
261,Oct,1871,287.4879678204372,286.11596492498205,K,historical,SAM0-UNICON,r1i1p1f1
262,Nov,1871,286.8191161260788,285.1531158277565,K,historical,SAM0-UNICON,r1i1p1f1
263,Dec,1871,286.38935075329306,284.51988426349317,K,historical,SAM0-UNICON,r1i1p1f1
264,Jan,1872,286.2107712016964,284.281904899637,K,historical,SAM0-UNICON,r1i1p1f1
265,Feb,1872,286.50921477040987,284.61752788982426,K,historical,SAM0-UNICON,r1i1p1f1
266,Mar,1872,286.78615175058553,285.1124753463864,K,historical,SAM0-UNICON,r1i1p1f1
267,Apr,1872,287.70297779987595,286.140934671928,K,historical,SAM0-UNICON,r1i1p1f1
268,May,1872,288.1158520718456,287.0762465676951,K,historical,SAM0-UNICON,r1i1p1f1
269,Jun,1872,288.46748039415905,287.69349056099946,K,historical,SAM0-UNICON,r1i1p1f1
270,Jul,1872,288.726464777354,288.1505712086392,K,historical,SAM0-UNICON,r1i1p1f1
271,Aug,1872,288.778089432943,288.1110734720944,K,historical,SAM0-UNICON,r1i1p1f1
272,Sep,1872,288.293809173403,287.40129467900204,K,historical,SAM0-UNICON,r1i1p1f1
273,Oct,1872,287.5254660145348,286.2166060491151,K,historical,SAM0-UNICON,r1i1p1f1
274,Nov,1872,286.8578347967225,285.2124780222985,K,historical,SAM0-UNICON,r1i1p1f1
275,Dec,1872,286.1769351266174,284.36065811423475,K,historical,SAM0-UNICON,r1i1p1f1
276,Jan,1873,286.0865337138452,284.13289792024125,K,historical,SAM0-UNICON,r1i1p1f1
277,Feb,1873,286.12383945876945,284.3891582531444,K,historical,SAM0-UNICON,r1i1p1f1
278,Mar,1873,286.8303518508258,285.0558173517737,K,historical,SAM0-UNICON,r1i1p1f1
279,Apr,1873,287.4121036188327,285.96987427708206,K,historical,SAM0-UNICON,r1i1p1f1
280,May,1873,287.97905357650114,286.90830798248425,K,historical,SAM0-UNICON,r1i1p1f1
281,Jun,1873,288.27305740986446,287.5341466093862,K,historical,SAM0-UNICON,r1i1p1f1
282,Jul,1873,288.61647924005376,288.0169397170825,K,historical,SAM0-UNICON,r1i1p1f1
283,Aug,1873,288.51932289082555,287.82860556421394,K,historical,SAM0-UNICON,r1i1p1f1
284,Sep,1873,288.21205792452764,287.300526481831,K,historical,SAM0-UNICON,r1i1p1f1
285,Oct,1873,287.4772523019092,286.07879791911193,K,historical,SAM0-UNICON,r1i1p1f1
