year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.76071674385,287.5690462621817,CNRM-ESM2-1,ssp126,r5i1p1f2
2016,289.0035845495866,287.8569502316144,CNRM-ESM2-1,ssp126,r5i1p1f2
2017,289.0656648427779,287.960790031114,CNRM-ESM2-1,ssp126,r5i1p1f2
2018,288.8014205272538,287.6426756491065,CNRM-ESM2-1,ssp126,r5i1p1f2
2019,288.92360565312674,287.74565444889754,CNRM-ESM2-1,ssp126,r5i1p1f2
2020,289.1380214012147,287.9558220165317,CNRM-ESM2-1,ssp126,r5i1p1f2
2021,288.78568931851413,287.59029008571935,CNRM-ESM2-1,ssp126,r5i1p1f2
2022,289.0443804874586,287.90577010460447,CNRM-ESM2-1,ssp126,r5i1p1f2
2023,289.30413524108917,288.17802788236685,CNRM-ESM2-1,ssp126,r5i1p1f2
2024,289.1475043506243,288.0030110696223,CNRM-ESM2-1,ssp126,r5i1p1f2
2025,289.3386762852659,288.2284198462661,CNRM-ESM2-1,ssp126,r5i1p1f2
2026,289.32816004628535,288.17804666171855,CNRM-ESM2-1,ssp126,r5i1p1f2
2027,289.21544696287486,288.0830732065645,CNRM-ESM2-1,ssp126,r5i1p1f2
2028,289.3538645098023,288.20927337413724,CNRM-ESM2-1,ssp126,r5i1p1f2
2029,289.24168884867777,288.10313630154667,CNRM-ESM2-1,ssp126,r5i1p1f2
2030,289.3602933660529,288.2656053205011,CNRM-ESM2-1,ssp126,r5i1p1f2
2031,289.26057854272636,288.18563189935344,CNRM-ESM2-1,ssp126,r5i1p1f2
2032,289.34945117497244,288.24756449254323,CNRM-ESM2-1,ssp126,r5i1p1f2
2033,289.5966221857706,288.46952702093404,CNRM-ESM2-1,ssp126,r5i1p1f2
2034,289.37827050114356,288.2649003690219,CNRM-ESM2-1,ssp126,r5i1p1f2
2035,289.46407482042366,288.3239844202568,CNRM-ESM2-1,ssp126,r5i1p1f2
2036,289.3103074503837,288.14278304224644,CNRM-ESM2-1,ssp126,r5i1p1f2
2037,289.38224724482484,288.2562574319907,CNRM-ESM2-1,ssp126,r5i1p1f2
2038,289.49124867260264,288.393743662623,CNRM-ESM2-1,ssp126,r5i1p1f2
2039,289.58602662336835,288.4637384394722,CNRM-ESM2-1,ssp126,r5i1p1f2
2040,289.4299141597205,288.286248420133,CNRM-ESM2-1,ssp126,r5i1p1f2
2041,289.60860587078923,288.49458698473074,CNRM-ESM2-1,ssp126,r5i1p1f2
2042,289.6171491229332,288.4924234841987,CNRM-ESM2-1,ssp126,r5i1p1f2
2043,289.5682325852005,288.3907415081493,CNRM-ESM2-1,ssp126,r5i1p1f2
2044,289.70681065166906,288.54743640791077,CNRM-ESM2-1,ssp126,r5i1p1f2
2045,289.6549303253877,288.45856152937404,CNRM-ESM2-1,ssp126,r5i1p1f2
2046,289.7607399083558,288.60567390463495,CNRM-ESM2-1,ssp126,r5i1p1f2
2047,289.6591274033785,288.52308645681796,CNRM-ESM2-1,ssp126,r5i1p1f2
2048,289.6564133090736,288.5037584370274,CNRM-ESM2-1,ssp126,r5i1p1f2
2049,289.71176661797983,288.5708308935446,CNRM-ESM2-1,ssp126,r5i1p1f2
2050,289.7786285394823,288.6523499007225,CNRM-ESM2-1,ssp126,r5i1p1f2
2051,289.8818602224981,288.7702342923443,CNRM-ESM2-1,ssp126,r5i1p1f2
2052,289.62602149389267,288.47920433841364,CNRM-ESM2-1,ssp126,r5i1p1f2
2053,289.70203276549455,288.55401637635595,CNRM-ESM2-1,ssp126,r5i1p1f2
2054,289.8565315046277,288.72522708684386,CNRM-ESM2-1,ssp126,r5i1p1f2
2055,289.59029771206343,288.4981441418661,CNRM-ESM2-1,ssp126,r5i1p1f2
2056,289.83130114607917,288.67160377555723,CNRM-ESM2-1,ssp126,r5i1p1f2
2057,289.8933415294678,288.71717180727643,CNRM-ESM2-1,ssp126,r5i1p1f2
