year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.4426856811863,288.31458462530225,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2016,289.4308338621938,288.2935098763722,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2017,289.28346295502297,288.15678733140874,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2018,289.21588186018295,288.1140768236726,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2019,289.1366272486395,288.0215025861099,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2020,289.15162360583804,288.05289415616244,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2021,289.17881138426253,288.07563464848823,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2022,289.3870735931323,288.27740336906595,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2023,289.55592729715767,288.49780936634266,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2024,289.4818563251085,288.41402239118696,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2025,289.44866216897327,288.386327784245,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2026,289.43378785540045,288.3817475672278,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2027,289.35676763103015,288.29316372835353,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2028,289.4152399427307,288.36407894513144,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2029,289.39779899990674,288.32870627416156,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2030,289.49958406778103,288.4470237139788,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2031,289.5074762836773,288.4288979558526,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2032,289.58660524975886,288.5250464560638,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2033,289.5741297276326,288.5199791555055,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2034,289.735983241154,288.6955549867179,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2035,289.7336438351399,288.67929307343786,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2036,289.70815139205706,288.6672686057966,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2037,289.54953584948277,288.4979846525997,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2038,289.60946478263094,288.550260923753,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2039,289.80270128806967,288.74648795424713,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2040,289.73278110192285,288.66042945175957,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2041,289.6477965099276,288.6072544447325,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2042,289.74585195490386,288.69956022716923,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2043,289.66052407274515,288.63929886883284,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2044,289.6365120690809,288.5785502307502,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2045,289.59962759155553,288.5563426928529,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2046,289.77538706085835,288.72782485510254,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2047,289.74104030717734,288.7306607527707,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2048,289.7183863915537,288.6725519803003,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2049,289.6976083682992,288.63128091278475,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2050,289.5721082547337,288.51544762483195,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2051,289.555526476313,288.4841891909986,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2052,289.5786439246055,288.5320550172851,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2053,289.6869061853048,288.6383548277271,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2054,289.7667366218996,288.70958800803487,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2055,289.7241963468017,288.69529183642453,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2056,289.75079028631023,288.6676372182046,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2057,289.6810482799089,288.63378966232904,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2058,289.7815902567007,288.74376329811594,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2059,289.78944031824335,288.7428709167484,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2060,289.76390124579177,288.7228822178837,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2061,289.7956276368335,288.77097396524425,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2062,289.70998132202226,288.67994126729263,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2063,289.8534310088128,288.8154986008414,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2064,289.7920775448522,288.77643609201857,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2065,289.84340804056023,288.80290908942465,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2066,289.6803664158253,288.6184558806538,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2067,289.6839551517778,288.6012603842904,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2068,289.7070620016323,288.6698277586713,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2069,289.6821382857225,288.6424669014054,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2070,289.66930874141406,288.5889749650444,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2071,289.7796343822389,288.70692270178097,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2072,289.7642696299465,288.6845844468941,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2073,289.6986119903601,288.66628094990136,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2074,289.6719944324379,288.6356112799104,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2075,289.67787784963383,288.5943487562767,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2076,289.8384709713748,288.7805954241099,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2077,289.81759746260894,288.752850511874,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2078,289.7659071205884,288.7111914496926,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2079,289.8520616530407,288.783683282937,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2080,289.7506410180883,288.6889018846767,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2081,289.617160103633,288.59060578865086,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2082,289.71114419449304,288.68342507548994,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2083,289.8135396558744,288.7743570741964,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2084,289.8575239555364,288.8140816245048,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2085,289.60304192483045,288.57754443621303,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2086,289.5800928625451,288.5266807127324,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2087,289.81604944124257,288.75650041880033,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2088,289.9143990231701,288.84198226075597,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2089,289.72608251327495,288.6656672069002,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2090,289.7336447699777,288.68394015889515,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2091,289.6547401039459,288.5706453654022,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2092,289.75739604463655,288.71401546079045,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2093,289.8113268810794,288.7444658667262,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2094,289.77721067069217,288.7008517433734,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2095,289.647506966688,288.6084514215232,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2096,289.57959054419035,288.53021541220767,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2097,289.7345225412725,288.6732284834721,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2098,289.7371477984391,288.67431283679474,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2099,289.57176695314894,288.51699916763647,MPI-ESM1-2-HR,ssp126,r2i1p1f1
2100,289.47840505942105,288.4045168401265,MPI-ESM1-2-HR,ssp126,r2i1p1f1
