year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.0937738098708,287.7655253028608,GISS-E2-1-G,ssp370,r1i1p1f2
2016,288.9115123282174,287.638765483119,GISS-E2-1-G,ssp370,r1i1p1f2
2017,288.9344182201751,287.64588326799003,GISS-E2-1-G,ssp370,r1i1p1f2
2018,289.1154821102096,287.8306638397147,GISS-E2-1-G,ssp370,r1i1p1f2
2019,289.36354571805555,288.06564657115405,GISS-E2-1-G,ssp370,r1i1p1f2
2020,289.20863678182025,287.9277480512576,GISS-E2-1-G,ssp370,r1i1p1f2
2021,289.0774387153662,287.7861554961709,GISS-E2-1-G,ssp370,r1i1p1f2
2022,289.30370988459316,288.04774801341824,GISS-E2-1-G,ssp370,r1i1p1f2
2023,289.50672008210614,288.23597376603857,GISS-E2-1-G,ssp370,r1i1p1f2
2024,289.3895071566717,288.1149147693147,GISS-E2-1-G,ssp370,r1i1p1f2
2025,289.21817532732706,287.9719285000141,GISS-E2-1-G,ssp370,r1i1p1f2
2026,289.31626942503,288.0354418163308,GISS-E2-1-G,ssp370,r1i1p1f2
2027,289.5406311837608,288.25628303345036,GISS-E2-1-G,ssp370,r1i1p1f2
2028,289.40181961011615,288.16065167844727,GISS-E2-1-G,ssp370,r1i1p1f2
2029,289.4441607382058,288.1619374386903,GISS-E2-1-G,ssp370,r1i1p1f2
2030,289.6558324864185,288.3886549996338,GISS-E2-1-G,ssp370,r1i1p1f2
2031,289.55897315743397,288.298893245527,GISS-E2-1-G,ssp370,r1i1p1f2
2032,289.38030255411974,288.1107000767562,GISS-E2-1-G,ssp370,r1i1p1f2
2033,289.4242676459527,288.1841311734715,GISS-E2-1-G,ssp370,r1i1p1f2
2034,289.76149008633024,288.5350673221229,GISS-E2-1-G,ssp370,r1i1p1f2
2035,289.6891148884018,288.4338666532825,GISS-E2-1-G,ssp370,r1i1p1f2
2036,289.31914864434657,288.0889590871117,GISS-E2-1-G,ssp370,r1i1p1f2
2037,289.4592403608022,288.23804131658625,GISS-E2-1-G,ssp370,r1i1p1f2
2038,289.7613773645709,288.5024204136119,GISS-E2-1-G,ssp370,r1i1p1f2
2039,289.885175228116,288.61339529633665,GISS-E2-1-G,ssp370,r1i1p1f2
2040,289.6342240229777,288.38102549664416,GISS-E2-1-G,ssp370,r1i1p1f2
2041,289.7206685097724,288.4583613615663,GISS-E2-1-G,ssp370,r1i1p1f2
2042,290.0234264374606,288.7474796512668,GISS-E2-1-G,ssp370,r1i1p1f2
2043,290.01440564843705,288.7435207212085,GISS-E2-1-G,ssp370,r1i1p1f2
2044,290.00205088434825,288.75637812651973,GISS-E2-1-G,ssp370,r1i1p1f2
2045,289.83826843316047,288.608230556994,GISS-E2-1-G,ssp370,r1i1p1f2
2046,289.6527009431931,288.4301629401303,GISS-E2-1-G,ssp370,r1i1p1f2
2047,289.81653583926095,288.6038636484908,GISS-E2-1-G,ssp370,r1i1p1f2
2048,290.1201652134667,288.91708572325734,GISS-E2-1-G,ssp370,r1i1p1f2
2049,290.21045945391234,288.98660087852045,GISS-E2-1-G,ssp370,r1i1p1f2
2050,290.1225716880764,288.89355664933146,GISS-E2-1-G,ssp370,r1i1p1f2
2051,290.1783248637965,288.9479902131262,GISS-E2-1-G,ssp370,r1i1p1f2
2052,290.36137700447057,289.14706781716933,GISS-E2-1-G,ssp370,r1i1p1f2
2053,290.2647797568628,289.0101253802694,GISS-E2-1-G,ssp370,r1i1p1f2
2054,290.1420292064247,288.9403890405255,GISS-E2-1-G,ssp370,r1i1p1f2
2055,290.10546059073357,288.92227113751636,GISS-E2-1-G,ssp370,r1i1p1f2
2056,290.26227532610403,289.0377392135131,GISS-E2-1-G,ssp370,r1i1p1f2
2057,290.4517125200235,289.23696642961676,GISS-E2-1-G,ssp370,r1i1p1f2
2058,290.4892388072661,289.29887393654656,GISS-E2-1-G,ssp370,r1i1p1f2
2059,290.3839059916042,289.1464621581548,GISS-E2-1-G,ssp370,r1i1p1f2
2060,290.38004029489474,289.15675016356755,GISS-E2-1-G,ssp370,r1i1p1f2
2061,290.635358625764,289.398409949894,GISS-E2-1-G,ssp370,r1i1p1f2
2062,290.6957839966615,289.4739265580726,GISS-E2-1-G,ssp370,r1i1p1f2
2063,290.4501914379345,289.21605402330465,GISS-E2-1-G,ssp370,r1i1p1f2
2064,290.58513788972766,289.39186249006883,GISS-E2-1-G,ssp370,r1i1p1f2
2065,290.63035025606507,289.41200730357906,GISS-E2-1-G,ssp370,r1i1p1f2
2066,290.4390397526836,289.2387844833185,GISS-E2-1-G,ssp370,r1i1p1f2
2067,290.4859542600128,289.30138054494273,GISS-E2-1-G,ssp370,r1i1p1f2
2068,290.76948317771314,289.5480915571667,GISS-E2-1-G,ssp370,r1i1p1f2
2069,290.79304464827777,289.5859750557065,GISS-E2-1-G,ssp370,r1i1p1f2
2070,290.67928963875755,289.4915107712332,GISS-E2-1-G,ssp370,r1i1p1f2
2071,290.66770292239653,289.4727805474912,GISS-E2-1-G,ssp370,r1i1p1f2
2072,290.8336507036304,289.67143275817915,GISS-E2-1-G,ssp370,r1i1p1f2
2073,290.6177175929025,289.400647582794,GISS-E2-1-G,ssp370,r1i1p1f2
2074,290.71904816876554,289.5186356173322,GISS-E2-1-G,ssp370,r1i1p1f2
2075,291.0316093659543,289.8179430460467,GISS-E2-1-G,ssp370,r1i1p1f2
2076,290.98752251697323,289.8150695790908,GISS-E2-1-G,ssp370,r1i1p1f2
2077,290.96433390689646,289.7713552849261,GISS-E2-1-G,ssp370,r1i1p1f2
2078,290.73363626335885,289.5746305993123,GISS-E2-1-G,ssp370,r1i1p1f2
2079,290.86202933350864,289.72092753303843,GISS-E2-1-G,ssp370,r1i1p1f2
2080,291.03003726766445,289.870677505969,GISS-E2-1-G,ssp370,r1i1p1f2
2081,290.9952554781435,289.8172305532605,GISS-E2-1-G,ssp370,r1i1p1f2
2082,291.0755378031335,289.88881311282654,GISS-E2-1-G,ssp370,r1i1p1f2
2083,291.1026216771734,289.964447612103,GISS-E2-1-G,ssp370,r1i1p1f2
2084,291.1531322025152,289.95140935303465,GISS-E2-1-G,ssp370,r1i1p1f2
2085,291.0040082839396,289.8223631790535,GISS-E2-1-G,ssp370,r1i1p1f2
2086,291.1632070328515,289.9879079907369,GISS-E2-1-G,ssp370,r1i1p1f2
2087,291.34831078972275,290.1275123389562,GISS-E2-1-G,ssp370,r1i1p1f2
2088,291.320135378452,290.1654510213346,GISS-E2-1-G,ssp370,r1i1p1f2
2089,291.38142915506165,290.22166302642586,GISS-E2-1-G,ssp370,r1i1p1f2
2090,291.1672743169133,290.02739373729094,GISS-E2-1-G,ssp370,r1i1p1f2
2091,291.1645027855236,290.0211738784976,GISS-E2-1-G,ssp370,r1i1p1f2
2092,291.3666084965016,290.19919830682005,GISS-E2-1-G,ssp370,r1i1p1f2
2093,291.5936383177148,290.42176050734776,GISS-E2-1-G,ssp370,r1i1p1f2
2094,291.64664470299107,290.4344009443727,GISS-E2-1-G,ssp370,r1i1p1f2
2095,291.48937023790916,290.3046450434442,GISS-E2-1-G,ssp370,r1i1p1f2
2096,291.48125463701587,290.3093220067088,GISS-E2-1-G,ssp370,r1i1p1f2
2097,291.5693187881756,290.3868733492171,GISS-E2-1-G,ssp370,r1i1p1f2
2098,291.62992171938197,290.44952647619016,GISS-E2-1-G,ssp370,r1i1p1f2
2099,291.5267595267963,290.36706005575087,GISS-E2-1-G,ssp370,r1i1p1f2
2100,291.6233032034425,290.4510418355512,GISS-E2-1-G,ssp370,r1i1p1f2
