year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.4898165479793,287.3417180072193,GFDL-ESM4,ssp126,r1i1p1f1
2016,288.5507971760486,287.4084642404567,GFDL-ESM4,ssp126,r1i1p1f1
2017,288.7326880050114,287.5829130742647,GFDL-ESM4,ssp126,r1i1p1f1
2018,288.5440959339266,287.3905810070476,GFDL-ESM4,ssp126,r1i1p1f1
2019,288.60228071352293,287.48893921765915,GFDL-ESM4,ssp126,r1i1p1f1
2020,288.802597848005,287.695249187146,GFDL-ESM4,ssp126,r1i1p1f1
2021,288.94918747377983,287.8276153790169,GFDL-ESM4,ssp126,r1i1p1f1
2022,288.71421416865985,287.61457916960353,GFDL-ESM4,ssp126,r1i1p1f1
2023,288.6664200570847,287.5498609259533,GFDL-ESM4,ssp126,r1i1p1f1
2024,288.7498134460745,287.61393666923016,GFDL-ESM4,ssp126,r1i1p1f1
2025,288.90517301305346,287.8006544938711,GFDL-ESM4,ssp126,r1i1p1f1
2026,288.8945640212746,287.77992035026284,GFDL-ESM4,ssp126,r1i1p1f1
2027,288.72243186953995,287.6334429027822,GFDL-ESM4,ssp126,r1i1p1f1
2028,288.78915375283464,287.69477579934494,GFDL-ESM4,ssp126,r1i1p1f1
2029,288.9791358458899,287.867781479841,GFDL-ESM4,ssp126,r1i1p1f1
2030,288.95798455028023,287.83659654746714,GFDL-ESM4,ssp126,r1i1p1f1
2031,288.95389312523207,287.82851858999067,GFDL-ESM4,ssp126,r1i1p1f1
2032,288.8323136552257,287.72861776386844,GFDL-ESM4,ssp126,r1i1p1f1
2033,289.0255289826786,287.92216996692645,GFDL-ESM4,ssp126,r1i1p1f1
2034,289.0488857248142,287.9370175504699,GFDL-ESM4,ssp126,r1i1p1f1
2035,288.8714726878032,287.7390180621708,GFDL-ESM4,ssp126,r1i1p1f1
2036,288.91559308708463,287.8020420067023,GFDL-ESM4,ssp126,r1i1p1f1
2037,289.0643278649303,287.94311061237306,GFDL-ESM4,ssp126,r1i1p1f1
2038,288.9324267828197,287.8206772609982,GFDL-ESM4,ssp126,r1i1p1f1
2039,288.9122368736496,287.81376391343605,GFDL-ESM4,ssp126,r1i1p1f1
2040,288.8650414789322,287.76476088795624,GFDL-ESM4,ssp126,r1i1p1f1
2041,289.0771296809325,287.97658775401766,GFDL-ESM4,ssp126,r1i1p1f1
2042,289.0557770035359,287.9601592170544,GFDL-ESM4,ssp126,r1i1p1f1
2043,289.0729879988022,287.9697651512022,GFDL-ESM4,ssp126,r1i1p1f1
2044,288.9312009131428,287.8107167671103,GFDL-ESM4,ssp126,r1i1p1f1
2045,289.02440896718036,287.9065830702958,GFDL-ESM4,ssp126,r1i1p1f1
2046,289.1578102295768,288.0294410474186,GFDL-ESM4,ssp126,r1i1p1f1
2047,289.0444168605559,287.9239103169759,GFDL-ESM4,ssp126,r1i1p1f1
2048,289.0335176567898,287.8965233194188,GFDL-ESM4,ssp126,r1i1p1f1
2049,289.15713577136273,288.0459923256522,GFDL-ESM4,ssp126,r1i1p1f1
2050,289.0697946296583,287.9523381476965,GFDL-ESM4,ssp126,r1i1p1f1
2051,289.10149011349347,287.9633323579398,GFDL-ESM4,ssp126,r1i1p1f1
2052,289.0916959477866,287.96353860181176,GFDL-ESM4,ssp126,r1i1p1f1
2053,289.0286880451478,287.89096507907163,GFDL-ESM4,ssp126,r1i1p1f1
2054,289.1512805304517,288.0114829712409,GFDL-ESM4,ssp126,r1i1p1f1
2055,289.2518373620333,288.12036913146113,GFDL-ESM4,ssp126,r1i1p1f1
2056,289.1464500396702,288.06093543944553,GFDL-ESM4,ssp126,r1i1p1f1
2057,289.0585989832405,287.95073950371136,GFDL-ESM4,ssp126,r1i1p1f1
2058,288.9411715040655,287.8278061337046,GFDL-ESM4,ssp126,r1i1p1f1
2059,289.0376452057174,287.9115831310023,GFDL-ESM4,ssp126,r1i1p1f1
2060,289.15919229624893,288.073115605034,GFDL-ESM4,ssp126,r1i1p1f1
2061,289.2243320076499,288.1282307415166,GFDL-ESM4,ssp126,r1i1p1f1
2062,289.13427188772346,288.00830102818986,GFDL-ESM4,ssp126,r1i1p1f1
2063,289.02172981648937,287.9371631735235,GFDL-ESM4,ssp126,r1i1p1f1
2064,288.99769649673675,287.9263402881178,GFDL-ESM4,ssp126,r1i1p1f1
2065,289.0415860501897,287.9661220042725,GFDL-ESM4,ssp126,r1i1p1f1
2066,289.2446975788143,288.12929786817307,GFDL-ESM4,ssp126,r1i1p1f1
2067,289.1052008309691,288.0038479949096,GFDL-ESM4,ssp126,r1i1p1f1
2068,289.2242012210053,288.1193685610588,GFDL-ESM4,ssp126,r1i1p1f1
2069,289.27747016026683,288.14857043640876,GFDL-ESM4,ssp126,r1i1p1f1
2070,289.14940712261745,288.0464136281849,GFDL-ESM4,ssp126,r1i1p1f1
2071,289.07067440917075,287.9710800672781,GFDL-ESM4,ssp126,r1i1p1f1
2072,289.07788930483207,287.99615838363553,GFDL-ESM4,ssp126,r1i1p1f1
2073,289.0194173081124,287.91359996027444,GFDL-ESM4,ssp126,r1i1p1f1
2074,289.0510045762295,287.9544855609036,GFDL-ESM4,ssp126,r1i1p1f1
2075,289.0125192842287,287.8961781451581,GFDL-ESM4,ssp126,r1i1p1f1
2076,288.90734405930135,287.78606948149553,GFDL-ESM4,ssp126,r1i1p1f1
2077,289.1880220495036,288.07361185503174,GFDL-ESM4,ssp126,r1i1p1f1
2078,289.3467705210553,288.22027350760845,GFDL-ESM4,ssp126,r1i1p1f1
2079,289.07054441297197,287.980058239719,GFDL-ESM4,ssp126,r1i1p1f1
2080,289.16858986497203,288.08148375251983,GFDL-ESM4,ssp126,r1i1p1f1
2081,289.0957226197811,287.9654887257464,GFDL-ESM4,ssp126,r1i1p1f1
2082,289.3167444405779,288.21035176621484,GFDL-ESM4,ssp126,r1i1p1f1
